Nome do componente,Nome do componente - DDD,Categoria (pasta),Qtd props detectados,Tipo (Modal/Form/Display/...),Usado por (produtos/servicos),Qtd usos,Arquivo,Status DDD,Observacoes
meta,,,0,ComponenteDSL,,0,nucleo-global/Botoes/botao-global/src/botao.stories.tsx,,
BotaoGlobal,,,0,ComponenteDSL,Configurador | dashboard | lpco | pedido | processo | simula-custo,6,nucleo-global/Botoes/botao-global/src/botao.tsx,,
meta,,,0,ComponenteDSL,,0,nucleo-global/Botoes/botao-novo-admin-global/src/botao-novo-admin.stories.tsx,,
BotaoNovoAdminGlobal,,,0,ComponenteDSL,Configurador,1,nucleo-global/Botoes/botao-novo-admin-global/src/botao-novo-admin.tsx,,
meta,,,0,ComponenteDSL,,0,nucleo-global/Botoes/botoes-salvar-global/src/botoes-salvar.stories.tsx,,
BotaoSalvar,,,0,ComponenteDSL,pedido,1,nucleo-global/Botoes/botoes-salvar-global/src/botoes-salvar.tsx,,
MESES_INDICES,,,3,ComponenteDSL,,0,nucleo-global/Campos/campo-calendario-global/src/CalendarioCampoGlobal.tsx,,
GeralCampoGlobal,,,8,ComponenteDSL,Configurador | processo | simula-custo,3,nucleo-global/Campos/campo-geral-global/src/GeralCampoGlobal.tsx,,
LocalizarExpandidoCampoGlobal,,,8,ComponenteDSL,Configurador | processo,2,nucleo-global/Campos/campo-localizar-expandido-global/src/LocalizarExpandidoCampoGlobal.tsx,,
buscarNcms,,,5,Modal,,0,nucleo-global/Campos/campo-ncm-global/src/ModalBuscaNcm.tsx,,
NcmSelectGlobal,,,8,ComponenteDSL,pedido,1,nucleo-global/Campos/campo-ncm-global/src/NcmSelectGlobal.tsx,,
calcPos,,,0,ComponenteDSL,,0,nucleo-global/Campos/campo-select-global/src/select-global.tsx,,
SwitchGlobal,,,6,ComponenteDSL,pedido,1,nucleo-global/Campos/switch-global/src/SwitchGlobal.tsx,,
GAP_MAP,,,0,ComponenteDSL,,0,nucleo-global/Composicao/flex-global/src/FlexGlobal.tsx,,
GAP_MAP,,,0,ComponenteDSL,,0,nucleo-global/Composicao/grid-global/src/GridGlobal.tsx,,
FADE_CLASSES,,,0,ComponenteDSL,,0,nucleo-global/Composicao/secao-global/src/SecaoGlobal.tsx,,
GAP_MAP,,,0,ComponenteDSL,,0,nucleo-global/Composicao/stack-global/src/StackGlobal.tsx,,
CfgSectionLabel,,,5,ComponenteDSL,pedido,1,nucleo-global/Configuracoes/cabecalho-secao-global/src/CfgSectionLabel.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/demo/src/main.tsx,,
BREAKPOINTS,,,5,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/DashboardGrid/DashboardGrid.tsx,,
MONTH_NAMES_SHORT,,,3,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/DashboardToolbar/DashboardToolbar.tsx,,
KpiValue,,,6,ComponenteDSL,pedido,1,nucleo-global/Dashboard/dashboard-global/src/KpiValue/KpiValue.tsx,,
PASSOS,,,9,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/QueryBuilder/QueryBuilder.tsx,,
SuggestionsPanel,,,5,ComponenteDSL,pedido,1,nucleo-global/Dashboard/dashboard-global/src/SuggestionsPanel/SuggestionsPanel.tsx,,
WidgetSkeleton,,,13,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/WidgetContainer/WidgetContainer.tsx,,
DEFAULT_CHART_OPTIONS,,,7,Modal,,0,nucleo-global/Dashboard/dashboard-global/src/WidgetEditModal/WidgetEditModal.tsx,,
TOP_LIMIT,,,6,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/BarChartWidget/BarChartWidget.tsx,,
CustomTooltip,,,1,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/DistributionWidget/DistributionWidget.tsx,,
CORES,,,3,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/DonutWidget/DonutWidget.tsx,,
extractNumericValue,,,5,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/KpiWidget/KpiWidget.tsx,,
MONTH_ABBR,,,5,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/LineChartWidget/LineChartWidget.tsx,,
isDistribution,,,4,ComponenteDSL,,0,nucleo-global/Dashboard/dashboard-global/src/widgets/TableWidget/TableWidget.tsx,,
COR_ATIVO,,,3,ComponenteDSL,,0,nucleo-global/Feedback/status-badge-global/src/StatusBadgeGlobal.tsx,,
meta,,,0,ComponenteDSL,,0,nucleo-global/Feedback/status-salvar-global/src/status-salvar.stories.tsx,,
ICON_MAP,,,9,ComponenteDSL,,0,nucleo-global/Feedback/status-salvar-global/src/StatusSalvarGlobal.tsx,,
TooltipGlobal,,,0,ComponenteDSL,Configurador | marketplace | lpco | pedido | processo | simula-custo,6,nucleo-global/Feedback/tooltip-global/src/tooltip.tsx,,
GabiFieldIcon,,,0,ComponenteDSL,pedido,1,nucleo-global/Gabi/gabi-field-icon-global/src/GabiFieldIcon.tsx,,
calcVariante,,,0,ComponenteDSL,,0,nucleo-global/Gabi/gabi-field-icon-global/src/GabiTokenBadge.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/demo/src/App.tsx,,
PRIORIDADE_COR,,,0,Modal,,0,nucleo-global/Kanban/kanban-global/demo/src/CardKanbanModal.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/demo/src/main.tsx,,
useToast,,,2,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/demo/src/ToastDemo.tsx,,
PRIORIDADE_COR,,,0,Modal,,0,nucleo-global/Kanban/kanban-global/src/CardKanbanModal.tsx,,
KanbanCardWrapper,,,2,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/src/KanbanCardWrapper.tsx,,
SORT_KEYS,,,6,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/src/KanbanColuna.tsx,,
CORES_PRESET,,,8,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/src/KanbanConfiguracoes.tsx,,
KanbanContext,,,0,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/src/KanbanContext.tsx,,
DEFAULT_LABELS,,,0,ComponenteDSL,,0,nucleo-global/Kanban/kanban-global/src/KanbanGlobal.tsx,,
CabecalhoGlobal,,,0,ComponenteDSL,Configurador | dashboard | bid-frete | nf-importacao | pedido | processo | simula-custo,7,nucleo-global/Layout/cabecalho-global/src/cabecalho.tsx,,
DEFAULT_PERIODO,,,0,ComponenteDSL,,0,nucleo-global/Layout/card-global/src/CardBasicoGlobal.tsx,,
COR_STROKE,,,0,ComponenteDSL,,0,nucleo-global/Layout/card-global/src/CardGraficoGlobal.tsx,,
StatCardGlobal,,,0,ComponenteDSL,Configurador | simula-custo,2,nucleo-global/Layout/card-global/src/stat-card.tsx,,
TooltipStatCardGlobal,,,3,ComponenteDSL,,0,nucleo-global/Layout/card-global/sub-componentes/tooltip-stat-card-global/src/tooltip-stat-card.tsx,,
LANGUAGES,,,2,ComponenteDSL,,0,nucleo-global/Layout/language-switcher-global/src/LanguageSwitcherGlobal.tsx,,
HUB_CX,,,8,ComponenteDSL,,0,nucleo-global/Layout/localizador-global/src/LocalizadorGlobal.tsx,,
LogoGlobal,,,0,ComponenteDSL,Configurador | marketplace,2,nucleo-global/Layout/logo-global/src/logo-global.tsx,,
MenuLateralGlobal,,,13,ComponenteDSL,Configurador | shell | processo,3,nucleo-global/Layout/menu-lateral-global/src/MenuLateralGlobal.tsx,,
MenuTopoGlobal,,,13,ComponenteDSL,,0,nucleo-global/Layout/menu-topo-global/src/MenuTopoGlobal.tsx,,
meta,,,0,ComponenteDSL,,0,nucleo-global/Layout/pagina-global/src/pagina-global.stories.tsx,,
PaginaGlobal,,,7,ComponenteDSL,Configurador | dashboard | bid-frete | nf-importacao | pedido | processo | simula-custo,7,nucleo-global/Layout/pagina-global/src/pagina-global.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Layout/tela-produto-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Layout/tela-produto-global/demo/src/main.tsx,,
Configuracoes,,,0,Pagina,,0,nucleo-global/Layout/tela-produto-global/demo/src/pages/Configuracoes.tsx,,
Dashboard,,,0,Pagina,,0,nucleo-global/Layout/tela-produto-global/demo/src/pages/Dashboard.tsx,,
Historico,,,0,Pagina,,0,nucleo-global/Layout/tela-produto-global/demo/src/pages/Historico.tsx,,
Kanban,,,0,Pagina,,0,nucleo-global/Layout/tela-produto-global/demo/src/pages/Kanban.tsx,,
Lista,,,0,Pagina,,0,nucleo-global/Layout/tela-produto-global/demo/src/pages/Lista.tsx,,
COLUNAS_KANBAN_DEFAULT,,,0,ComponenteDSL,,0,nucleo-global/Layout/tela-produto-global/demo/src/shared/useKanbanConfig.tsx,,
TelaProdutoGlobal,,,18,ComponenteDSL,pedido | simula-custo,2,nucleo-global/Layout/tela-produto-global/src/TelaProdutoGlobal.tsx,,
UsuarioGlobal,,,15,ComponenteDSL,Configurador | shell,2,nucleo-global/Layout/usuario-global/src/UsuarioGlobal.tsx,,
ALL_VIEWS,,,4,ComponenteDSL,,0,nucleo-global/Layout/view-toggle-global/src/SeletorVisualizacao.tsx,,
meta,,,0,ComponenteDSL,,0,nucleo-global/Login/login-global/src/login-global.stories.tsx,,
LoginGlobal,,,0,ComponenteDSL,Configurador,1,nucleo-global/Login/login-global/src/LoginGlobal.tsx,,
LogoAdmin,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoAdmin.tsx,,
LogoBidCambio,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoBidCambio.tsx,,
LogoBidFrete,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoBidFrete.tsx,,
LogoConfigurador,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoConfigurador.tsx,,
LogoCore,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoCore.tsx,,
LogoFinanceiroComex,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoFinanceiroComex.tsx,,
LogoGravity,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoGravity.tsx,,
LogoHub,,,3,ComponenteDSL,Configurador,1,nucleo-global/Logo/produtos/src/logos/LogoHub.tsx,,
LogoLpco,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoLpco.tsx,,
LogoNfImportacao,,,3,ComponenteDSL,,0,nucleo-global/Logo/produtos/src/logos/LogoNfImportacao.tsx,,
