Metodo,Rota Completa (Atual),Rota Completa - DDD,Prefixo Mount,Path no arquivo,Local,Produto / Servico,Arquivo da rota,Variavel Router,Middleware detectado,Request Schema (Zod),Response Schema,Model Prisma principal,Entidade retornada,Consumidor,Descricao,Conforme DDD?,Patente minima,Status DDD,Observacoes
GET,/api/internal/check-access,,/api/internal,/check-access,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,organizacao,,,,,,,
GET,/api/internal/tenant-products,,/api/internal,/tenant-products,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,produtoGravityConfig,,,,,,,
POST,/api/internal/tenant-products/activate,,/api/internal,/tenant-products/activate,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,catalogProduct,,,,,,,
POST,/api/internal/tenant-products/deactivate,,/api/internal,/tenant-products/deactivate,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,catalogProduct,,,,,,,
PATCH,/api/internal/catalog-products/:slug/status,,/api/internal,/catalog-products/:slug/status,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,catalogProduct,,,,,,,
GET,/api/internal/product-permissions,,/api/internal,/product-permissions,Configurador,Configurador,servicos-global/configurador/server/routes/access.ts,accessRouter,,,,,,,,,,,
GET,/api/admin/tenants,,/api/admin,/tenants,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,organizacao,,,,,,,
GET,/api/admin/tenants/:id,,/api/admin,/tenants/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,organizacao,,,,,,,
PATCH,/api/admin/tenants/:id,,/api/admin,/tenants/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,organizacao,,,,,,,
POST,/api/admin/tenants,,/api/admin,/tenants,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,organizacao,,,,,,,
PATCH,/api/admin/workspaces/:id,,/api/admin,/workspaces/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,empresa,,,,,,,
GET,/api/admin/stats,,/api/admin,/stats,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,admin,,,organizacao,,,,,,,
GET,/api/admin/usuarios-globais,,/api/admin,/usuarios-globais,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
GET,/api/admin/financeiro-admin/invoices,,/api/admin,/financeiro-admin/invoices,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/financeiro-admin/invoices/:id,,/api/admin,/financeiro-admin/invoices/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/financeiro-admin/invoices,,/api/admin,/financeiro-admin/invoices,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
