chave_coluna_lista,nivel_linha,campo_api_frontend,campo_prisma_pedido,campo_prisma_item,campo_propagacao_pai,tabela_postgres,tipo_prisma,tipo_comportamento_lista,grupo_coluna_lista,label_cabecalho_tela,tooltip_titulo_tela,armazenamento_banco,back_patch_campo,origem_dado
anexo_lpco,item,anexo_lpco,,,,anexo_pedido,,,DUIMP / Fiscal,Anexo LPCO,Anexo LPCO,tabela_anexo_pedido,categoria_anexo_pedido=lpco,lista_gtv
aplicacao_mercadoria_duimp,item,aplicacao_mercadoria_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,aplicacao_mercadoria_duimp,lista_gtv
atributos_catalogo,item,atributos_catalogo,,atributos_catalogo,,pedido_item,String,,Identificação,Atributo do Produto - Catálogo,Atributos — Catálogo de Produto,coluna_pedido_item,atributos_catalogo,lista_gtv
atributos_duimp,item,atributos_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,atributos_duimp,lista_gtv
base_calculo_cofins_duimp,item,base_calculo_cofins_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,base_calculo_cofins_duimp,lista_gtv
base_calculo_ii_duimp,item,base_calculo_ii_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,base_calculo_ii_duimp,lista_gtv
base_calculo_ipi_duimp,item,base_calculo_ipi_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,base_calculo_ipi_duimp,lista_gtv
base_calculo_pis_duimp,item,base_calculo_pis_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,base_calculo_pis_duimp,lista_gtv
campo_especial_item,item,campo_especial_item,,campo_especial_item,,pedido_item,String,,Identificação,Campo Especial do Item/Produto,Campo Especial,coluna_pedido_item,campo_especial_item,lista_gtv
,item,,,casas_decimais_cubagem_item,casas_decimais_cubagem_pedido,pedido_item,Int,,,Casas Decimais — Cubagem,,coluna_prisma_sem_lista,casas_decimais_cubagem_item,somente_prisma
,item,,,casas_decimais_peso_item,casas_decimais_peso_pedido,pedido_item,Int,,,Casas Decimais — Peso,,coluna_prisma_sem_lista,casas_decimais_peso_item,somente_prisma
casas_decimais_quantidade_item,item,casas_decimais_quantidade_item,,casas_decimais_quantidade_item,casas_decimais_quantidade_pedido,pedido_item,Int,,Quantidades,Casas Decimais — Qtd.,,coluna_pedido_item,casas_decimais_quantidade_item,lista_gtv
,item,,,casas_decimais_valor_item,casas_decimais_valor_pedido,pedido_item,Int,,,Casas Decimais — Valor,,coluna_prisma_sem_lista,casas_decimais_valor_item,somente_prisma
,item,,,cobertura_cambial_item,cobertura_cambial_pedido,pedido_item,String,,,Cobertura Cambial,,coluna_prisma_sem_lista,cobertura_cambial_item,somente_prisma
codigo_ope_duimp,item,codigo_ope_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,codigo_ope_duimp,lista_gtv
codigo_ope_fabricante_duimp,item,codigo_ope_fabricante_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,codigo_ope_fabricante_duimp,lista_gtv
condicao_mercadoria_duimp,item,condicao_mercadoria_duimp,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,condicao_mercadoria_duimp,lista_gtv
condicao_pagamento,item,condicao_pagamento,,condicao_pagamento_item,condicao_pagamento_pedido,pedido_item,String,alfanumerico,Quantidades,Condicao de Pagamento — Comercial (Item),,coluna_pedido_item,condicao_pagamento_item,lista_gtv
condicao_pagamento_siscomex,item,condicao_pagamento_siscomex,,condicao_pagamento_siscomex_item,condicao_pagamento_siscomex_pedido,pedido_item,String,alfanumerico,Quantidades,Condição de Pagamento do Pedido/Item — Siscomex,Condição de Pagamento do Item — Siscomex,coluna_pedido_item,condicao_pagamento_siscomex_item,lista_gtv
,item,,,cubagem_unidade_item,,pedido_item,String,,,,,coluna_prisma_sem_lista,cubagem_unidade_item,somente_prisma
cubagem_unitaria,item,cubagem_unitaria,,cubagem_unitaria_item,,pedido_item,Decimal,,Dados Físicos,Cubagem Unitária do Item,Cubagem Unitária,coluna_pedido_item,cubagem_unitaria_item,lista_gtv
,item,,,dados_extras_importacao_item,,pedido_item,Json,,,,,coluna_prisma_sem_lista,dados_extras_importacao_item,somente_prisma
,item,,,data_atualizacao_item,,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_atualizacao_item,somente_prisma
data_certificado_origem,item,data_certificado_origem,,data_certificado_origem,,pedido_item,DateTime,,DUIMP / Fiscal,Data do Cert. de Origem,Data do Certificado de Origem,coluna_pedido_item,data_certificado_origem,lista_gtv
,item,,,data_confirmacao_aprovacao_rascunho_invoice_item,data_confirmacao_aprovacao_rascunho_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_aprovacao_rascunho_invoice_item,somente_prisma
,item,,,data_confirmacao_aprovacao_rascunho_item,data_confirmacao_aprovacao_rascunho_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_aprovacao_rascunho_item,somente_prisma
