numero_linha,nome_arquivo,tipo_documento,caminho_campo,nome_prisma,tabela_prisma,confianca_mapeamento,observacao_mapeamento,chave_json,valor_extraido,preenchido
1,BL.pdf,BL,document.type,,,,,type,BILL OF LADING,sim
2,BL.pdf,BL,document.date,,,,,date,2024-10-24,sim
3,BL.pdf,BL,document.shippedOnBoardDate,,,,,shippedOnBoardDate,2024-10-24,sim
4,BL.pdf,BL,document.number,numero_bl_processo,DocumentoProcesso,alta,,number,GWW-375555,sim
5,BL.pdf,BL,document.billOfLadingNumber,numero_bl_processo,DocumentoProcesso,alta,,billOfLadingNumber,GWW-375555,sim
6,BL.pdf,BL,document.masterBillOfLadingNumber,numero_mbl_processo,DocumentoProcesso,alta,,masterBillOfLadingNumber,,nao
7,BL.pdf,BL,document.bookingReference,numero_bl_processo,DocumentoProcesso,alta,,bookingReference,GWW-375555,sim
8,BL.pdf,BL,carrier.name,nome_fornecedor,Fornecedor,alta,,name,LANDSTAR GLOBAL LOGISTICS,sim
9,BL.pdf,BL,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,"AMSTED RAIL INTERNATIONAL, INC",sim
10,BL.pdf,BL,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"2580 FRONTAGE ROAD, PETERSBURG, VA 23805",sim
11,BL.pdf,BL,exporter.country,pais_fornecedor,Fornecedor,alta,,country,UNITED STATES,sim
12,BL.pdf,BL,exporter.state_province,estado_provincia_fornecedor,Fornecedor,alta,,state_province,VA,sim
13,BL.pdf,BL,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,PETERSBURG,sim
14,BL.pdf,BL,exporter.zip_code,cep_zipcode_fornecedor,Fornecedor,alta,,zip_code,23805,sim
15,BL.pdf,BL,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,,nao
16,BL.pdf,BL,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,,nao
17,BL.pdf,BL,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
18,BL.pdf,BL,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,DMM-IE IMPORTACAO & EXPORTACAO LTDA,sim
19,BL.pdf,BL,importer.address,endereco_fornecedor,Fornecedor,alta,,address,"R. DR PEDRO FERREIRA, 155-CONJ 1003 088301030 ITAJAI - SC",sim
20,BL.pdf,BL,importer.country,pais_fornecedor,Fornecedor,alta,,country,BRAZIL,sim
21,BL.pdf,BL,importer.state_province,estado_provincia_fornecedor,Fornecedor,alta,,state_province,SC,sim
22,BL.pdf,BL,importer.city,cidade_fornecedor,Fornecedor,alta,,city,ITAJAI,sim
23,BL.pdf,BL,importer.zip_code,cep_zipcode_fornecedor,Fornecedor,alta,,zip_code,088301030,sim
24,BL.pdf,BL,importer.cnpj,cnpj_fornecedor,Fornecedor,alta,,cnpj,08.973.387/0002-55,sim
25,BL.pdf,BL,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,,nao
26,BL.pdf,BL,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
27,BL.pdf,BL,notify_party.name,nome_fornecedor,Fornecedor,alta,,name,AMSTED RAIL BRASIL EQUIPAMENTOS FERROVIARIOS LTDA.,sim
28,BL.pdf,BL,notify_party.address,endereco_fornecedor,Fornecedor,alta,,address,"RUA DOUTOR PEDRO FERREIRA, 1553. ANDAR, SALA 315, CENTRO, 88301-901 ITAJAI - SC BRAZIL",sim
29,BL.pdf,BL,notify_party.country,,,,,country,BRAZIL,sim
30,BL.pdf,BL,notify_party.state_province,,,,,state_province,SC,sim
31,BL.pdf,BL,notify_party.city,,,,,city,ITAJAI,sim
32,BL.pdf,BL,notify_party.zip_code,,,,,zip_code,88301-901,sim
33,BL.pdf,BL,notify_party.cnpj,,,,,cnpj,03-411.938/0002-73,sim
34,BL.pdf,BL,notify_party.phone,,,,,phone,,nao
35,BL.pdf,BL,notify_party.email,,,,,email,,nao
36,BL.pdf,BL,shipment.pre_carriage,,,,,pre_carriage,,nao
37,BL.pdf,BL,shipment.vessel_name,,,,,vessel_name,Monte Pascoal,sim
38,BL.pdf,BL,shipment.voyage_number,,,,,voyage_number,442S,sim
39,BL.pdf,BL,shipment.port_of_origin,porto_origem_processo,LogisticaInternacionalProcesso,alta,,port_of_origin,"PHILADELPHIA, PA",sim
40,BL.pdf,BL,shipment.port_of_destination,porto_destino_processo,LogisticaInternacionalProcesso,alta,,port_of_destination,ITAPOA,sim
41,BL.pdf,BL,shipment.place_of_origin,,,,,place_of_origin,"PETERSBURG, VA",sim
42,BL.pdf,BL,shipment.place_of_destination,,,,,place_of_destination,,nao
43,BL.pdf,BL,shipment.origin_country,,,,,origin_country,UNITED STATES,sim
44,BL.pdf,BL,shipment.destination_state,,,,,destination_state,SC,sim
45,BL.pdf,BL,shipment.marksAndNumbers,,,,,marksAndNumbers,HLBU2358024/Seal:UL-4200593,sim
46,BL.pdf,BL,shipment.temperature,,,,,temperature,,nao
47,BL.pdf,BL,containers[].container_type,container_tipo_processo_container,ContainerProcesso,alta,,container_type,20 STANDARD DRY,sim
48,BL.pdf,BL,containers[].container_number,container_numero_processo_container,ContainerProcesso,alta,,container_number,HLBU2358024,sim
49,BL.pdf,BL,containers[].container_seal,container_lacre_processo_container,ContainerProcesso,alta,,container_seal,UL-4200593,sim
50,BL.pdf,BL,containers[].container_gross_weight,container_peso_bruto_processo_container,ContainerProcesso,alta,,container_gross_weight,19587.809,sim
51,BL.pdf,BL,containers[].container_net_weight,container_peso_liquido_processo_container,ContainerProcesso,alta,,container_net_weight,,nao
52,BL.pdf,BL,containers[].container_volume,container_metragem_cubica_processo_container,ContainerProcesso,alta,,container_volume,15.200,sim
53,BL.pdf,BL,containers[].container_tare,,,,,container_tare,,nao
54,BL.pdf,BL,containers[].dangerous_goods_indicator,,,,,dangerous_goods_indicator,,nao
55,BL.pdf,BL,containers[].dangerous_goods_class,,,,,dangerous_goods_class,,nao
56,BL.pdf,BL,containers[].packaging[].type,,,,,type,PALLETS,sim
57,BL.pdf,BL,containers[].packaging[].quantity,,,,,quantity,29,sim
58,BL.pdf,BL,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,HLBU2358024,sim
59,BL.pdf,BL,goods.ncm_code,ncm_item,PedidoItem,alta,,ncm_code,8607,sim
60,BL.pdf,BL,goods.ncm_list[0],,,,,ncm_list[0],8607,sim
61,BL.pdf,BL,goods.hs_code,ncm_item,PedidoItem,alta,,hs_code,,nao
62,BL.pdf,BL,goods.bl_description,,,,,bl_description,"20 STANDARD DRY S.L.A.C.
29 PALLETS OF BEARINGS NON HAZ

NCM: 8607

wooden dunnage heat treated and certified

ITN: X20241017210508",sim
63,BL.pdf,BL,goods.total_packages,,,,,total_packages,29,sim
64,BL.pdf,BL,goods.package_unit,,,,,package_unit,PALLETS,sim
65,BL.pdf,BL,goods.shipment_gross_weight,,,,,shipment_gross_weight,19587.809,sim
66,BL.pdf,BL,goods.shipment_net_weight,,,,,shipment_net_weight,,nao
67,BL.pdf,BL,goods.total_shipment_volume,,,,,total_shipment_volume,15.200,sim
68,BL.pdf,BL,goods.volume_unit,,,,,volume_unit,CBM,sim
69,BL.pdf,BL,goods.packaging_summary[].type,,,,,type,PALLETS,sim
70,BL.pdf,BL,goods.packaging_summary[].total_quantity,,,,,total_quantity,29,sim
71,BL.pdf,BL,goods.items[].quantity,,,,,quantity,29 PALLETS,sim
72,BL.pdf,BL,goods.items[].description,descricao_item,PedidoItem,alta,,description,BEARINGS NON HAZ,sim
73,BL.pdf,BL,goods.items[].ncm,ncm_item,PedidoItem,alta,,ncm,8607,sim
74,BL.pdf,BL,goods.items[].net_weight,,,,,net_weight,,nao
75,BL.pdf,BL,goods.items[].gross_weight,,,,,gross_weight,19587.809,sim
76,BL.pdf,BL,goods.items[].volume,,,,,volume,15.20,sim
77,BL.pdf,BL,goods.items[].shipper,,,,,shipper,,nao
78,BL.pdf,BL,goods.items[].invoice,,,,,invoice,,nao
79,BL.pdf,BL,freight.currency,,,,,currency,USD,sim
80,BL.pdf,BL,freight.total_value,,,,,total_value,4941.19,sim
81,BL.pdf,BL,freight.basic_value,,,,,basic_value,4504.00,sim
82,BL.pdf,BL,freight.payment_terms,,,,,payment_terms,COLLECT,sim
83,BL.pdf,BL,freight.clauses[].clause,,,,,clause,FREIGHT COLLECT,sim
84,BL.pdf,BL,freight.additional_charges[].Nome da Taxa,,,,,Nome da Taxa,OVERWEIGHT,sim
85,BL.pdf,BL,freight.additional_charges[].Valor,,,,,Valor,300.00,sim
86,BL.pdf,BL,freight.additional_charges[].Moeda,,,,,Moeda,USD,sim
87,BL.pdf,BL,woodPackaging.hasWood,,,,,hasWood,Sim,sim
88,BL.pdf,BL,woodPackaging.isTreatedCertified,,,,,isTreatedCertified,Sim,sim
89,BL.pdf,BL,woodPackaging.woodDescription,,,,,woodDescription,wooden dunnage heat treated and certified,sim
90,BL.pdf,BL,observations,,,,,observations,ITN: X20241017210508,sim
91,BL.pdf,BL,isSigned,,,,,isSigned,true,sim
92,BL.pdf,BL,additionalFields.Agente de Entrega,,,,,Agente de Entrega,BLUE LINE AGENCIAMENTO DE CARGAS LTDA,sim
93,BL.pdf,BL,additionalFields.CNPJ Agente de Entrega,,,,,CNPJ Agente de Entrega,05.376.052/0001-80,sim
94,BL.pdf,BL,additionalFields.Email Agente de Entrega,,,,,Email Agente de Entrega,IMPORT@BLUELINELOG.COM,sim
95,BL.pdf,BL,document.type,,,,,type,BILL OF LADING,sim
96,BL.pdf,BL,document.date,,,,,date,2024-10-24,sim
97,BL.pdf,BL,document.shippedOnBoardDate,,,,,shippedOnBoardDate,2024-10-24,sim
98,BL.pdf,BL,document.number,numero_bl_processo,DocumentoProcesso,alta,,number,GWW-375555,sim
99,BL.pdf,BL,document.billOfLadingNumber,numero_bl_processo,DocumentoProcesso,alta,,billOfLadingNumber,GWW-375555,sim
100,BL.pdf,BL,document.masterBillOfLadingNumber,numero_mbl_processo,DocumentoProcesso,alta,,masterBillOfLadingNumber,,nao
101,BL.pdf,BL,document.bookingReference,numero_bl_processo,DocumentoProcesso,alta,,bookingReference,GWW-375555,sim
102,BL.pdf,BL,carrier.name,nome_fornecedor,Fornecedor,alta,,name,LANDSTAR GLOBAL LOGISTICS,sim
103,BL.pdf,BL,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,"AMSTED RAIL INTERNATIONAL, INC",sim
104,BL.pdf,BL,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"2580 FRONTAGE ROAD, PETERSBURG, VA 23805",sim
105,BL.pdf,BL,exporter.country,pais_fornecedor,Fornecedor,alta,,country,UNITED STATES,sim
106,BL.pdf,BL,exporter.state_province,estado_provincia_fornecedor,Fornecedor,alta,,state_province,VA,sim
107,BL.pdf,BL,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,PETERSBURG,sim
108,BL.pdf,BL,exporter.zip_code,cep_zipcode_fornecedor,Fornecedor,alta,,zip_code,23805,sim
109,BL.pdf,BL,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,,nao
110,BL.pdf,BL,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,,nao
111,BL.pdf,BL,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
112,BL.pdf,BL,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,DMM-IE IMPORTACAO & EXPORTACAO LTDA,sim
113,BL.pdf,BL,importer.address,endereco_fornecedor,Fornecedor,alta,,address,"R. DR PEDRO FERREIRA, 155-CONJ 1003 088301030 ITAJAI - SC",sim
114,BL.pdf,BL,importer.country,pais_fornecedor,Fornecedor,alta,,country,BRAZIL,sim
115,BL.pdf,BL,importer.state_province,estado_provincia_fornecedor,Fornecedor,alta,,state_province,SC,sim
116,BL.pdf,BL,importer.city,cidade_fornecedor,Fornecedor,alta,,city,ITAJAI,sim
117,BL.pdf,BL,importer.zip_code,cep_zipcode_fornecedor,Fornecedor,alta,,zip_code,088301030,sim
118,BL.pdf,BL,importer.cnpj,cnpj_fornecedor,Fornecedor,alta,,cnpj,08.973.387/0002-55,sim
119,BL.pdf,BL,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,,nao
120,BL.pdf,BL,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
121,BL.pdf,BL,notify_party.name,nome_fornecedor,Fornecedor,alta,,name,AMSTED RAIL BRASIL EQUIPAMENTOS FERROVIARIOS LTDA.,sim
122,BL.pdf,BL,notify_party.address,endereco_fornecedor,Fornecedor,alta,,address,"RUA DOUTOR PEDRO FERREIRA, 1553. ANDAR, SALA 315, CENTRO, 88301-901 ITAJAI - SC BRAZIL",sim
123,BL.pdf,BL,notify_party.country,,,,,country,BRAZIL,sim
124,BL.pdf,BL,notify_party.state_province,,,,,state_province,SC,sim
125,BL.pdf,BL,notify_party.city,,,,,city,ITAJAI,sim
126,BL.pdf,BL,notify_party.zip_code,,,,,zip_code,88301-901,sim
127,BL.pdf,BL,notify_party.cnpj,,,,,cnpj,03-411.938/0002-73,sim
128,BL.pdf,BL,notify_party.phone,,,,,phone,,nao
