tipo_documento,caminho_legado,campo_gravity,label_tela,secao_tela,sinonimos_legado,arquivos_exemplo,valor_exemplo,status
AWB,additionalFields.Assinado por,campo_adicional_assinado_por,Assinado por,Campos adicionais,,awb.pdf,SASKIA PÖSCHL,mapeado
AWB,additionalFields.Número de Referência,campo_adicional_numero_de_referencia,Número de Referência,Campos adicionais,,awb.pdf,HAM-177682-AFE,mapeado
AWB,additionalFields.Outras Taxas,campo_adicional_outras_taxas,Outras Taxas,Campos adicionais,,awb.pdf,"PICK UP 40,00 HANDLING ORI 35,00 COMPLIANCE F 12,50 FUEL-SURCHAR 15,00 AUTOMATED MA 10,50 SECURITY SUR 15,00 TERMINAL…",mapeado
AWB,awbInfo.awbDate,awbinfo_awbdate,Awb Date,Outros,,awb.pdf,2018-06-29,pendente
AWB,awbInfo.flight.flightDate,awbinfo_flight_flightdate,Flight Date,Outros,,awb.pdf,2018-06-30,pendente
AWB,awbInfo.flight.flightNumber,awbinfo_flight_flightnumber,Flight Number,Outros,,awb.pdf,TP 561,pendente
AWB,awbInfo.hawbNumber,awbinfo_hawbnumber,Hawb Number,Outros,,awb.pdf,,pendente
AWB,awbInfo.mawbNumber,awbinfo_mawbnumber,Mawb Number,Outros,,awb.pdf,047-03379563,pendente
AWB,awbInfo.shippedOnBoardDate,awbinfo_shippedonboarddate,Shipped On Board Date,Outros,,awb.pdf,,pendente
AWB,cargoAgent.accountingInfo,cargoagent_accountinginfo,Accounting Info,Outros,,awb.pdf,PLEASE INFORM CONSIGNEE IMMEDIATELY UPON ARRIVAL BY PHONE OR FAX,pendente
AWB,cargoAgent.iataCode,cargoagent_iatacode,Iata Code,Outros,,awb.pdf,DE/RA/00068-10,pendente
AWB,cargoAgent.name,nome_outros,Nome (Outros),Outros,,awb.pdf,HELLMANN WORLDWIDE LOGISTICS,mapeado
AWB,charges.internationalFreight.agentOtherCharges,charges_internationalfreight_agentothercharges,Agent Other Charges,Taxas,,awb.pdf,193.00,pendente
AWB,charges.internationalFreight.airlineOtherCharges,charges_internationalfreight_airlineothercharges,Airline Other Charges,Taxas,,awb.pdf,,pendente
AWB,charges.internationalFreight.basicFreightAmount,charges_internationalfreight_basicfreightamount,Basic Freight Amount,Taxas,,awb.pdf,200.00,pendente
AWB,charges.internationalFreight.currency,charges_internationalfreight_currency,Currency,Taxas,,awb.pdf,EUR,pendente
AWB,charges.internationalFreight.currencyConversionRates,charges_internationalfreight_currencyconversionrates,Currency Conversion Rates,Taxas,,awb.pdf,,pendente
AWB,charges.internationalFreight.declaredValueFee,charges_internationalfreight_declaredvaluefee,Declared Value Fee,Taxas,,awb.pdf,,pendente
AWB,charges.internationalFreight.destinationCharges,charges_internationalfreight_destinationcharges,Destination Charges,Taxas,,awb.pdf,,pendente
